t,w,x,y,z,ax,ay,az
15,0.999,-0.0259,0.0155,0.0333,-0.0436,-0.0167,0.9905
16,0.999,-0.0253,0.0159,0.0341,-0.0558,-0.007,0.9862
15,0.9989,-0.0248,0.0177,0.0341,-0.0529,-0.0162,0.9834
16,0.999,-0.0237,0.0189,0.0331,-0.0275,-0.0304,0.9797
15,0.999,-0.0223,0.0186,0.0316,-0.0084,-0.0402,0.9856
16,0.9991,-0.022,0.0174,0.0305,-0.0012,-0.0496,1.0042
15,0.9991,-0.0226,0.0168,0.0297,-0.0089,-0.0635,1.0232
16,0.9991,-0.0229,0.0175,0.0296,-0.0275,-0.0762,1.0332
16,0.9991,-0.0219,0.0191,0.03,-0.049,-0.0763,1.0385
15,0.9991,-0.0197,0.0212,0.0302,-0.0594,-0.0685,1.0419
16,0.9991,-0.0163,0.0244,0.0297,-0.0697,-0.0587,1.0251
15,0.9991,-0.0126,0.0268,0.0291,-0.0667,-0.0566,0.9924
17,0.9991,-0.0085,0.0272,0.0286,-0.054,-0.0497,0.9729
15,0.9991,-0.0054,0.0277,0.0281,-0.056,-0.0361,0.9768
16,0.9991,-0.0044,0.0306,0.0279,-0.0583,-0.0303,0.9806
15,0.999,-0.0043,0.0332,0.0276,-0.0408,-0.0286,0.9838
16,0.999,-0.0031,0.034,0.0272,-0.0416,-0.0198,0.9922
15,0.999,-0.0012,0.0349,0.0264,-0.0533,-0.0142,0.998
16,0.999,0.0006,0.0344,0.0258,-0.0614,-0.0171,0.9972
15,0.9991,0.0018,0.0315,0.0259,-0.056,-0.0244,0.9899
16,0.9992,0.0024,0.0273,0.027,-0.0416,-0.0269,0.9796
16,0.9993,0.0017,0.0231,0.0283,-0.0293,-0.0261,0.9724
16,0.9993,-0.0004,0.0192,0.0297,-0.0161,-0.0261,0.975
16,0.9993,-0.0028,0.0161,0.0308,-0.0204,-0.0167,0.991
15,0.9993,-0.0052,0.0156,0.0313,-0.0415,-0.0138,1.0168
16,0.9993,-0.0068,0.017,0.0319,-0.0555,-0.028,1.0319
15,0.9993,-0.0065,0.0175,0.0331,-0.0248,-0.0343,1.0319
15,0.9993,-0.0042,0.0172,0.0338,0.0073,-0.0195,1.0356
15,0.9992,-0.002,0.0189,0.0338,-0.0226,-0.0015,1.0371
16,0.9991,-0.0014,0.0225,0.0342,-0.0656,0.004,1.0259
15,0.999,-0.0013,0.0261,0.0344,-0.0754,-0.0093,1.0093
16,0.999,-0.0007,0.0276,0.0345,-0.0624,-0.0204,0.9747
15,0.999,-0.0004,0.0258,0.0352,-0.0529,-0.0266,0.9562
16,0.999,-0.0007,0.0228,0.0367,-0.0562,-0.0306,0.9626
16,0.999,-0.0011,0.0215,0.0389,-0.0649,-0.0414,0.9741
16,0.9988,-0.0009,0.0221,0.0422,-0.0757,-0.033,0.9615
16,0.9987,-0.0004,0.0226,0.0454,-0.0546,-0.0128,0.9585
16,0.9986,0.0001,0.022,0.0474,-0.0179,0.0018,0.9708
16,0.9986,0.0012,0.0211,0.0483,-0.0255,0.0061,0.9927
16,0.9985,0.0035,0.0192,0.0508,-0.0941,-0.0046,1.0105
16,0.9982,0.0063,0.0156,0.0561,-0.0964,0.0021,0.9939
15,0.998,0.0074,0.0103,0.0615,-0.0269,0.0304,0.991
16,0.9978,0.0067,0.0029,0.0654,0.03,0.0396,1.002
15,0.9976,0.0053,-0.0032,0.0688,0.0428,0.0277,1.0015
15,0.9973,0.0044,-0.007,0.0721,0.0542,0.0248,0.9821
15,0.9971,0.0026,-0.0092,0.0748,0.0557,0.0364,0.9541
16,0.997,-0.0004,-0.0108,0.0762,0.0724,0.0394,0.9576
16,0.9971,-0.0024,-0.0103,0.075,0.0908,0.031,0.9943
16,0.9973,-0.0019,-0.0074,0.0721,0.0475,0.0334,1.0143
16,0.9974,-0.0005,-0.0046,0.0715,-0.0447,0.0497,0.985
16,0.9973,-0.0003,-0.0018,0.0732,-0.1002,0.0582,0.962
16,0.9971,-0.0005,0.0002,0.0756,-0.0538,0.0475,0.9869
16,0.9969,0.0007,-0.0022,0.0773,0.0356,0.0315,1.0254
16,0.997,0.0035,-0.0063,0.0763,0.0779,0.0118,1.0562
16,0.9973,0.0068,-0.0059,0.0731,0.0684,0.0275,1.0269
15,0.9975,0.0077,-0.0034,0.0693,0.0254,0.033,0.9756
15,0.9977,0.0062,-0.003,0.0671,-0.0093,0.032,0.9609
15,0.9978,0.0046,-0.0038,0.0652,-0.0155,0.0334,0.9868
15,0.998,0.0042,-0.003,0.0627,0.0118,0.0302,1.0171
15,0.9982,0.0035,0.0018,0.0593,0.0187,0.048,0.9906
15,0.9984,-0.0002,0.0052,0.0552,0.0028,0.0509,0.965
16,0.9987,-0.0049,0.0065,0.0505,-0.0271,0.0332,0.9969
16,0.9988,-0.0082,0.0079,0.0464,-0.0527,0.0118,1.0348
16,0.9989,-0.0098,0.0118,0.0429,-0.0438,0.0046,1.0214
16,0.9991,-0.0106,0.015,0.0376,0.0006,0.0208,0.9818
16,0.9993,-0.0118,0.0163,0.0308,0.0236,0.0328,0.9552
16,0.9995,-0.0126,0.0168,0.0234,0.0139,0.0251,0.9607
16,0.9996,-0.0119,0.0164,0.0157,0.0043,0.0347,0.9786
15,0.9997,-0.0128,0.0175,0.0085,-0.0348,0.022,0.99
16,0.9997,-0.0151,0.0176,0.0057,-0.0347,0.0188,1.0046
15,0.9998,-0.0144,0.0142,0.0015,0.011,0.0422,1.024
16,0.9998,-0.0139,0.011,-0.0034,-0.0331,0.0369,1.0405
15,0.9998,-0.0117,0.0104,-0.0079,-0.0587,0.0427,1.0251
15,0.9998,-0.0093,0.0125,-0.0137,-0.0826,0.0516,1.0135
15,0.9996,-0.0089,0.0175,-0.0198,-0.0781,0.0614,0.995
16,0.9994,-0.0106,0.0209,-0.0249,-0.0614,0.0472,0.9769
15,0.9993,-0.0123,0.0211,-0.0285,-0.0624,0.0223,1.0087
16,0.9992,-0.0125,0.0199,-0.0306,-0.0477,-0.0044,1.0415
16,0.9992,-0.0113,0.0186,-0.0323,-0.0382,-0.01,1.059
16,0.9992,-0.0099,0.0189,-0.0336,-0.0577,0.0094,1.0469
16,0.9991,-0.0098,0.019,-0.0344,-0.0801,0.0133,1.0249
16,0.9991,-0.0097,0.0184,-0.0342,-0.0817,-0.0035,1.0153
16,0.9992,-0.0085,0.0182,-0.0342,-0.0795,-0.0109,0.9948
15,0.9992,-0.0074,0.0185,-0.0341,-0.071,-0.0081,0.9752
16,0.9992,-0.0067,0.0187,-0.0336,-0.0624,-0.0006,0.9806
15,0.9993,-0.0059,0.0182,-0.0321,-0.0505,0.0052,1.0095
16,0.9993,-0.0047,0.0188,-0.0303,-0.0398,0.0004,1.0382
15,0.9993,-0.0021,0.0209,-0.0293,-0.0422,0.0087,1.0377
17,0.9993,0.001,0.0225,-0.0281,-0.0706,0.0237,1.0243
15,0.9993,0.0041,0.0237,-0.0263,-0.094,0.0334,1.0229
16,0.9993,0.0076,0.0249,-0.0246,-0.0863,0.0492,1.0233
15,0.9993,0.0103,0.0266,-0.023,-0.0665,0.0643,1.0217
16,0.9993,0.0112,0.0289,-0.0209,-0.0765,0.0807,1.0043
16,0.9993,0.0111,0.0314,-0.0177,-0.0953,0.0808,0.9819
15,0.9993,0.011,0.0338,-0.0133,-0.106,0.0798,0.9584
16,0.9993,0.0107,0.0344,-0.0084,-0.0957,0.0851,0.9561
15,0.9993,0.0096,0.0335,-0.0037,-0.0721,0.0887,0.9819
16,0.9995,0.0076,0.0322,0.0009,-0.0491,0.0945,1.001
15,0.9995,0.0044,0.0309,0.0054,-0.0322,0.0776,1
16,0.9995,0.0017,0.0311,0.0087,-0.0355,0.0546,0.9928
15,0.9994,0.0007,0.0319,0.0116,-0.04,0.0303,1.0013
16,0.9993,0.0007,0.0338,0.015,-0.0475,0.0256,1.007
15,0.9991,0.0004,0.0351,0.0187,-0.053,0.0231,1.005
17,0.9991,0.0006,0.0354,0.0225,-0.0515,0.0055,1.0006
15,0.999,0.0015,0.036,0.0265,-0.056,-0.009,0.9977
16,0.9988,0.0021,0.0363,0.0306,-0.0332,-0.0294,1.0117
15,0.9987,0.0029,0.036,0.0347,0.0005,-0.0658,1.0118
16,0.9987,0.0056,0.0326,0.0379,0.0021,-0.0555,0.9943
15,0.9987,0.0106,0.0275,0.0413,-0.0208,-0.0492,0.9799
15,0.9985,0.0163,0.0245,0.045,-0.0436,-0.0552,0.9813
16,0.9982,0.024,0.0272,0.0479,-0.0037,-0.0973,0.9882
15,0.9974,0.0364,0.038,0.0486,-0.0292,-0.0966,0.9961
16,0.997,0.0472,0.0378,0.0471,-0.0593,-0.0178,0.9844
15,0.9973,0.0504,0.0292,0.0442,-0.0547,0.0125,0.9811
17,0.9974,0.0513,0.0234,0.0434,-0.0475,0.0347,0.9409
15,0.9975,0.0512,0.022,0.0427,-0.0763,0.0182,0.9309
17,0.9977,0.0501,0.0182,0.0414,-0.0496,-0.0055,0.991
15,0.9977,0.0518,0.0095,0.0411,0.0544,0.0233,1.0314
17,0.9976,0.0532,-0.0008,0.0429,0.1144,0.0319,1.0651
15,0.9974,0.0544,-0.0071,0.0449,0.0953,0.0314,1.0851
17,0.9974,0.0555,-0.0085,0.045,0.057,0.0479,1.0817
15,0.9974,0.0555,-0.0063,0.0439,0.0488,0.0686,1.0475
15,0.9976,0.0538,-0.0089,0.0428,0.0991,0.0779,1.0016
15,0.9977,0.0504,-0.017,0.0408,0.1199,0.0713,0.9648
15,0.9979,0.0449,-0.025,0.038,0.0713,0.059,0.953
16,0.9982,0.0388,-0.0284,0.0355,0.0176,0.0465,0.9554
15,0.9984,0.0339,-0.0284,0.0341,0.0166,0.0386,0.972
16,0.9985,0.0305,-0.0285,0.0338,0.0364,0.033,0.9822
15,0.9985,0.0276,-0.0302,0.0341,0.0481,0.0332,0.9939
17,0.9985,0.0248,-0.032,0.0344,0.0564,0.0221,1.0134
15,0.9985,0.024,-0.0333,0.0356,0.0652,0.0138,1.0148
17,0.9984,0.0242,-0.0354,0.0379,0.054,0.0253,0.9886
15,0.998,0.0236,-0.0406,0.0413,0.0583,0.0417,0.9569
17,0.9978,0.0219,-0.0439,0.0437,0.088,0.0364,0.9646
15,0.9979,0.0209,-0.0424,0.043,0.0997,0.0149,0.9548
17,0.998,0.0193,-0.0425,0.0422,0.0988,-0.0164,0.9031
15,0.9979,0.0153,-0.047,0.0422,0.1168,-0.0251,0.8542
15,0.9978,0.0076,-0.051,0.0408,0.0958,-0.0005,0.886
15,0.9978,-0.0015,-0.0523,0.0396,0.0391,-0.0001,0.9675
15,0.9979,-0.0075,-0.0507,0.0396,0.0292,-0.0138,1.0153
15,0.998,-0.011,-0.0482,0.0389,0.0687,-0.0089,1.0382
15,0.9982,-0.0139,-0.0458,0.0367,0.0879,0.0004,1.0712
17,0.9984,-0.0154,-0.0432,0.0342,0.069,0.0125,1.1102
