t,w,x,y,z,ax,ay,az
23:39:54.898663,0.98,-0.01,-0.01,-0.19,-0.08,0.04,1.13
23:39:54.912663,0.98,-0.01,-0.01,-0.18,-0.08,0.02,1.17
23:39:54.915663,0.98,-0.01,-0.01,-0.18,-0.09,-0.01,1.18
23:39:54.929664,0.98,-0.01,-0.01,-0.17,-0.09,-0.05,1.18
23:39:54.945663,0.99,-0.01,-0.01,-0.17,-0.1,-0.09,1.16
23:39:54.948663,0.99,-0.0,-0.01,-0.17,-0.11,-0.13,1.13
23:39:54.962663,0.99,-0.0,-0.01,-0.17,-0.1,-0.19,1.11
23:39:54.965663,0.99,0.0,-0.01,-0.16,-0.08,-0.23,1.1
23:39:54.979663,0.99,0.01,-0.01,-0.16,-0.07,-0.26,1.12
23:39:54.995663,0.99,0.01,-0.0,-0.16,-0.07,-0.28,1.13
23:39:54.998663,0.99,0.01,-0.0,-0.16,-0.07,-0.29,1.13
23:39:55.012663,0.99,0.02,-0.0,-0.16,-0.07,-0.31,1.11
23:39:55.015663,0.99,0.02,0.0,-0.16,-0.07,-0.32,1.08
23:39:55.029663,0.99,0.03,0.0,-0.16,-0.07,-0.33,1.06
23:39:55.045663,0.99,0.03,0.0,-0.16,-0.08,-0.33,1.04
23:39:55.048663,0.99,0.03,0.0,-0.15,-0.13,-0.34,1.03
23:39:55.062666,0.99,0.04,-0.0,-0.15,-0.14,-0.36,1.04
23:39:55.065688,0.99,0.04,-0.01,-0.15,-0.11,-0.36,1.05
23:39:55.079688,0.99,0.05,-0.02,-0.15,-0.07,-0.35,1.06
23:39:55.095688,0.99,0.05,-0.03,-0.15,-0.02,-0.35,1.06
23:39:55.098688,0.99,0.05,-0.03,-0.15,0.01,-0.36,1.03
23:39:55.112697,0.99,0.05,-0.03,-0.15,0.03,-0.38,1.02
23:39:55.115697,0.99,0.05,-0.03,-0.14,0.03,-0.41,1.01
23:39:55.129697,0.99,0.05,-0.03,-0.14,0.04,-0.44,1.0
23:39:55.145697,0.99,0.05,-0.03,-0.14,0.05,-0.46,0.99
23:39:55.148697,0.99,0.05,-0.03,-0.14,0.06,-0.48,0.99
23:39:55.162697,0.99,0.04,-0.03,-0.14,0.07,-0.49,0.99
23:39:55.165696,0.99,0.04,-0.03,-0.13,0.08,-0.5,0.98
23:39:55.179697,0.99,0.04,-0.02,-0.13,0.08,-0.5,0.97
23:39:55.195697,0.99,0.03,-0.02,-0.13,0.08,-0.5,0.97
23:39:55.198697,0.99,0.03,-0.01,-0.12,0.06,-0.49,0.98
