t,w,x,y,z,ax,ay,az
8,1,0.01,-0,-0,0.02,0.07,1
7,1,0.01,-0,-0,0.01,0.07,1
7,1,0.01,-0,-0,0,0.07,0.99
7,1,0.01,-0,-0,-0.01,0.06,1
9,1,0.01,-0,-0,-0.01,0.06,1.01
8,1,0.01,-0,-0,-0.01,0.07,1.01
7,1,0,-0,-0,-0.03,0.08,1.01
7,1,0,-0,-0,-0.03,0.08,1
8,1,0,-0,-0,-0.04,0.08,1.01
8,1,0,-0,-0,-0.05,0.08,1
7,1,0,0,-0,-0.08,0.09,1
7,1,0,0,0,-0.1,0.08,1
8,1,0,0,0,-0.12,0.08,1
8,1,0,0,0,-0.12,0.08,1
7,1,-0,0,0,-0.12,0.08,1.01
7,1,-0,0,0.01,-0.12,0.07,1.01
7,1,-0,0.01,0.01,-0.11,0.07,1.01
7,1,-0,0.01,0.01,-0.11,0.07,1.01
8,1,-0,0.01,0.01,-0.11,0.07,1
7,1,-0,0.01,0.01,-0.1,0.06,1
7,1,-0.01,0.01,0.01,-0.08,0.06,1
8,1,-0.01,0.01,0.01,-0.06,0.04,1
8,1,-0.01,0.01,0.02,-0.04,0.02,1
7,1,-0.01,0,0.02,-0,0.01,1
7,1,-0.01,0,0.02,0.03,-0.01,0.99
8,1,-0.01,0,0.02,0.05,-0.02,0.99
8,1,-0.01,0,0.02,0.08,-0.03,0.98
7,1,-0.01,0,0.03,0.1,-0.04,0.98
7,1,-0.01,0,0.03,0.11,-0.04,0.97
8,1,-0.01,0,0.03,0.12,-0.05,0.97
7,1,-0.01,0,0.03,0.11,-0.06,0.96
8,1,-0.01,0,0.03,0.09,-0.07,0.96
7,1,-0.01,-0,0.03,0.08,-0.07,0.96
7,1,-0.01,-0,0.04,0.08,-0.08,0.97
7,1,-0.01,-0.01,0.04,0.08,-0.09,0.99
8,1,-0.01,-0.01,0.04,0.09,-0.06,0.99
7,1,-0.01,-0.01,0.04,0.09,-0.05,0.99
7,1,-0.01,-0.01,0.04,0.11,-0.07,0.99
8,1,-0.01,-0.01,0.04,0.12,-0.08,0.99
8,1,-0,-0.01,0.04,0.14,-0.08,0.99
7,1,-0,-0,0.04,0.16,-0.07,1
7,1,0,-0.01,0.04,0.18,-0.06,1.01
8,1,0,-0.01,0.04,0.2,-0.06,1.01
8,1,0,-0.01,0.04,0.21,-0.06,1.02
8,1,0,-0.01,0.04,0.21,-0.05,1.04
7,1,0,-0.02,0.04,0.2,-0.04,1.03
7,1,0,-0.02,0.04,0.19,-0.05,1.02
7,1,0,-0.02,0.04,0.19,-0.07,1.01
8,1,0,-0.02,0.04,0.2,-0.09,1
7,1,0,-0.02,0.04,0.21,-0.1,0.98
7,1,0,-0.02,0.04,0.22,-0.1,1.01
8,1,0,-0.01,0.04,0.2,-0.05,1.01
8,1,0,-0.01,0.03,0.17,-0.05,1.01
7,1,0,-0.01,0.03,0.14,-0.06,1.01
7,1,0,-0.01,0.03,0.1,-0.06,1
8,1,0,-0.01,0.03,0.07,-0.04,1.01
8,1,0,-0.01,0.03,0.04,-0.04,1
8,1,0,-0.01,0.02,-0.01,-0.03,1.01
7,1,0,-0.01,0.02,-0.06,-0.02,1.01
8,1,0,-0.01,0.02,-0.1,-0.02,1
7,1,0,-0.01,0.02,-0.11,-0.02,0.99
8,1,0,-0.01,0.02,-0.09,-0.01,0.99
7,1,0,-0.01,0.02,-0.07,-0,0.99
7,1,0,-0.01,0.02,-0.07,0.01,1
7,1,0,-0.01,0.02,-0.08,0.02,1
8,1,0,-0.01,0.03,-0.1,0.01,0.99
7,1,0,-0.01,0.03,-0.11,0.01,1
7,1,0,-0.01,0.03,-0.1,0,1
8,1,0,-0.01,0.03,-0.08,-0.01,1
8,1,0,-0.01,0.03,-0.05,-0.03,1.01
7,1,0,-0.01,0.04,-0.01,-0.04,1.01
7,1,-0,-0.01,0.04,0.04,-0.04,1.01
8,1,-0,-0.02,0.04,0.08,-0.05,1.03
7,1,-0,-0.02,0.04,0.12,-0.05,1.03
8,1,-0,-0.02,0.04,0.13,-0.04,1.01
7,1,-0,-0.03,0.04,0.12,-0.04,0.99
8,1,-0,-0.03,0.03,0.06,-0.04,0.96
7,1,-0,-0.02,0.03,-0.49,-0.02,1.01
8,1,-0,-0.02,0.03,-0.3,0.1,0.97
7,1,-0,-0.02,0.03,-0.27,0.02,1.01
7,1,-0,-0.02,0.03,-0.21,-0.01,1
7,1,-0,-0.02,0.04,-0.15,-0.01,1.01
7,1,-0,-0.02,0.04,-0.05,-0.01,1.01
7,1,-0,-0.02,0.04,0.03,-0.03,0.99
7,1,-0,-0.02,0.04,-0.02,-0.07,0.98
8,1,-0,-0.02,0.04,-0.03,-0.04,0.99
7,1,-0,-0.02,0.05,-0.01,-0.02,1
8,1,-0,-0.02,0.05,0,-0.03,1
7,1,-0,-0.02,0.05,0.01,-0.04,1
8,1,-0,-0.02,0.05,0.01,-0.04,0.99
7,1,-0,-0.02,0.05,0.02,-0.05,0.99
8,1,-0,-0.02,0.05,0.02,-0.04,1
7,1,-0,-0.02,0.05,0.03,-0.03,1
8,1,-0,-0.02,0.05,0.03,-0.02,1
7,1,-0,-0.02,0.05,0.04,-0.02,1
8,1,-0,-0.02,0.05,0.04,-0.02,1
7,1,-0,-0.02,0.05,0.04,-0.01,1
7,1,-0,-0.02,0.05,0.04,-0.01,1
7,1,-0,-0.02,0.05,0.04,-0.01,1
7,1,-0,-0.02,0.05,0.04,-0.01,1
8,1,-0,-0.02,0.05,0.03,-0.01,1
7,1,-0,-0.02,0.05,0.03,-0.02,1
8,1,-0,-0.02,0.05,0.03,-0.03,1
7,1,-0,-0.02,0.05,0.03,-0.02,1.01
8,1,-0.01,-0.02,0.04,-0.01,-0.03,1
7,1,-0.01,-0.02,0.04,-0.06,-0.01,0.99
